Player Name,Team,Conference,Position,Height,Year,GP,MIN,MPG,FGM,FGA,FG%,3PTM,3PTA,3PT%,FTM,FTA,FT%,PTS,PPG,ORB,DRB,TOT RB,RPG,PF,AST,TO,STL,BLK,APG,SPG,DRBPG,ORBPG,BPG,TOPG,eFG,three_share,AST_TOV,FTR,TS_pct,usg,pts_per_40,reb_per_40,ast_per_40,stl_per_40,blk_per_40,tov_per_40,PC1,PC2,PC3,PC4
Nathan Andrice,DYouville,East Coast,F/C,80,Jr.,21,323,15.4,3.0,5.4,0.561,0.1,0.4,0.375,0.9,1.6,0.545,149,7.1,46,48,94,4.5,2.5,12,37,5,32,0.5714285714285714,0.238095238095238,2.2857142857142856,2.1904761904761907,1.5238095238095235,1.761904761904762,0.5648148148148148,0.074074074074074,0.3243243243243243,0.2962962962962963,12.205111402359108,0.1334489164086687,18.45201238390093,11.640866873065017,1.4860681114551082,0.6191950464396285,3.9628482972136223,4.582043343653251,4.128314558965095,0.5506454671878405,-2.1637842446997877,0.4639907316835233
Kevin Thompson,DYouville,East Coast,G,77,Sr,19,215,11.3,1.4,3.7,0.366,0.9,2.6,0.347,0.9,1.2,0.818,87,4.6,10,17,27,1.4,1.9,9,28,16,7,0.4736842105263157,0.8421052631578947,0.8947368421052632,0.5263157894736842,0.3684210526315789,1.4736842105263157,0.4999999999999999,0.7027027027027027,0.3214285714285714,0.3243243243243243,10.288552507095554,0.1498976744186046,16.186046511627907,5.023255813953488,1.6744186046511629,2.9767441860465116,1.302325581395349,5.209302325581396,-0.480855502179865,1.5612450588372875,-2.4196396915002087,2.40367202798018
Lashard Lowry Jr.,DYouville,East Coast,G,70,Fr,26,380,14.6,1.5,5.0,0.295,0.5,1.6,0.293,1.1,1.5,0.725,117,4.5,5,29,34,1.3,1.9,37,28,9,0,1.4230769230769231,0.3461538461538461,1.1153846153846154,0.1923076923076923,0.0,1.0769230769230769,0.35,0.32,1.3214285714285714,0.3,10.335689045936396,0.088578947368421,12.31578947368421,3.5789473684210527,3.894736842105263,0.9473684210526316,0.0,2.9473684210526314,-2.206898967703269,0.5824847761879921,-0.39763331332744517,0.0060249670102177615
Marko Milivojevic,DYouville,East Coast,C,83,Sr,20,310,15.5,1.9,3.2,0.587,0.1,0.4,0.286,0.5,0.7,0.714,86,4.3,18,54,72,3.5,0.9,12,21,12,39,0.6,0.6,2.7,0.9,1.95,1.05,0.609375,0.125,0.5714285714285714,0.2187499999999999,12.25769669327252,0.079058064516129,11.096774193548386,9.290322580645162,1.5483870967741935,1.5483870967741935,5.032258064516128,2.709677419354839,3.4916476112386503,-0.4135168544101385,-3.0223115458921184,-1.2734170393187847
Lucus Brown,DYouville,East Coast,G,72,So,22,293,13.3,1.0,2.8,0.344,0.6,1.8,0.325,0.3,0.4,0.75,62,2.8,26,20,46,2.1,1.2,14,14,9,0,0.6363636363636364,0.4090909090909091,0.9090909090909092,1.181818181818182,0.0,0.6363636363636364,0.4642857142857143,0.6428571428571429,1.0,0.1428571428571428,10.416666666666666,0.057938566552901,8.464163822525597,6.279863481228669,1.9112627986348123,1.2286689419795225,0.0,1.9112627986348123,-1.8783401761750178,-1.3143991686531589,-0.5730350402607642,0.05760684518260383
Zach Philipkoski,Daemen College,East Coast,G/F,76,Jr.,35,1131,32.3,6.1,11.9,0.512,2.6,6.2,0.419,3.0,3.5,0.876,623,17.8,56,193,249,7.1,1.7,87,48,35,21,2.4857142857142858,1.0,5.514285714285714,1.6,0.6,1.3714285714285714,0.6218487394957982,0.5210084033613446,1.8125,0.2941176470588235,23.177083333333332,0.0543236074270557,22.03359858532272,8.806366047745357,3.076923076923077,1.237842617152962,0.7427055702917772,1.6976127320954906,0.70147916277892,0.209526707801039,3.2632273393746836,0.14302964276903485
Ben Bill,Daemen College,East Coast,C,82,Jr.,24,626,26.1,7.0,10.2,0.686,0.0,0.1,0.0,3.0,4.8,0.632,408,17.0,82,103,185,7.7,2.3,44,32,16,41,1.8333333333333333,0.6666666666666666,4.291666666666667,3.4166666666666665,1.7083333333333333,1.3333333333333333,0.6862745098039216,0.0098039215686274,1.375,0.4705882352941176,16.569200779727097,0.0707859424920127,26.070287539936103,11.821086261980833,2.8115015974440896,1.022364217252396,2.6198083067092655,2.044728434504792,4.661496462531505,1.0683816494027198,1.8307115921376098,-0.6458115169649411
Justin Hemphill,Daemen College,East Coast,F,78,Sr,35,1085,31.0,4.6,9.5,0.48,0.6,1.8,0.349,1.8,3.2,0.554,403,11.5,91,203,294,8.4,2.5,122,76,41,35,3.4857142857142858,1.1714285714285717,5.8,2.6,1.0,2.1714285714285713,0.5157894736842105,0.1894736842105263,1.605263157894737,0.3368421052631579,18.47268060139347,0.0800995391705069,14.857142857142858,10.838709677419356,4.497695852534562,1.5115207373271888,1.2903225806451613,2.80184331797235,2.0655028693116106,1.8170028570174905,1.8435358962539479,-1.3393700367856176
Justin Glover,Daemen College,East Coast,G,69,Sr,33,1023,31.0,3.4,8.8,0.381,2.0,5.6,0.36,2.3,2.6,0.862,363,11.0,13,79,92,2.8,1.2,53,28,21,5,1.606060606060606,0.6363636363636364,2.393939393939394,0.3939393939393939,0.1515151515151515,0.8484848484848485,0.5,0.6363636363636362,1.8928571428571428,0.2954545454545454,18.252212389380528,0.037090909090909,14.193548387096776,3.597262952101662,2.072336265884653,0.8211143695014662,0.1955034213098729,1.0948191593352885,-2.175137724584637,-1.270186916513411,1.6653870595562739,-0.27089965534624383
Ryan Heath,Daemen College,East Coast,G,71,Jr.,35,987,28.2,4.1,7.9,0.511,0.3,1.1,0.237,1.4,2.3,0.613,343,9.8,32,77,109,3.1,1.5,64,32,30,9,1.8285714285714283,0.8571428571428571,2.2,0.9142857142857144,0.2571428571428571,0.9142857142857144,0.5379746835443038,0.1392405063291139,2.0,0.291139240506329,19.24371633752244,0.041450861195542,13.900709219858156,4.417426545086119,2.5937183383991895,1.21580547112462,0.364741641337386,1.2968591691995948,-0.9727655291853259,-0.19975916736220675,1.4725731118342564,-1.1901131765933315
Phil Nwugwo,Daemen College,East Coast,F,78,Jr.,35,735,21.0,3.4,5.5,0.619,0.1,0.3,0.5,1.9,3.1,0.62,312,8.9,77,88,165,4.8,2.0,21,30,9,25,0.6,0.2571428571428571,2.5142857142857142,2.2,0.7142857142857143,0.8571428571428571,0.6272727272727272,0.0545454545454545,0.7,0.5636363636363636,22.727272727272727,0.0501551020408163,16.97959183673469,8.979591836734693,1.1428571428571428,0.4897959183673469,1.360544217687075,1.6326530612244896,3.0192215017138517,-0.8732081987260562,0.8225264595161803,-0.4059704933812034
