team,conference,host,stats_base_url,platform,matched_school_name,n_players_2025_26
Simon Fraser,,athletics.sfu.ca,https://athletics.sfu.ca/sports/mens-basketball/stats,sidearm,"Bhangu, Sartaj",10
Sioux Falls,NSIC,usfcougars.com,https://usfcougars.com/sports/mens-basketball/stats,sidearm,"Ashley, Taylen",10
Slippery Rock,PSAC,rockathletics.com,https://rockathletics.com/sports/mens-basketball/stats,sidearm,"Austin, Maceo",11
South Carolina Aiken,PBC,pacersports.com,https://pacersports.com/sports/mens-basketball/stats,sidearm,"Byrd, Caleb",11
South Dakota Mines,RMAC,gorockers.com,https://gorockers.com/sports/mens-basketball/stats,sidearm,"Baltz, Luke",10
Southeastern Oklahoma State,,gosoutheastern.com,https://gosoutheastern.com/sports/mens-basketball/stats,sidearm,"Camacho Gomez, Santiago",9
Southern Arkansas,GAC,muleriderathletics.com,https://muleriderathletics.com/sports/mens-basketball/stats,sidearm,"Horton, Jair",11
Southern Connecticut State,NE-10,scsuowls.com,https://scsuowls.com/sports/mens-basketball/stats,sidearm,"Banks, Malik",8
Southern Nazarene,,snuathletics.com,https://snuathletics.com/sports/mens-basketball/stats,sidearm,"Bracey, Baron",9
Southern New Hampshire,NE-10,snhupenmen.com,https://snhupenmen.com/sports/mens-basketball/stats,sidearm,"Daniels, Ray",11
Southern Wesleyan,Carolinas,swuathletics.com,https://swuathletics.com/sports/mens-basketball/stats,sidearm,"Cooper, Malachi",7
Southwest Baptist,GLVC,sbubearcats.com,https://sbubearcats.com/sports/mens-basketball/stats,sidearm,"Gayman, Leo",8
Southwest Minnesota State,,,,sidearm,"Boike, Brayson",14
Southwestern Oklahoma State,GAC,swosuathletics.com,https://swosuathletics.com/sports/mens-basketball/stats,sidearm,"Carter, Kayden",9
Spring Hill,,shcbadgers.com,https://shcbadgers.com/sports/mens-basketball/stats,sidearm,"Abuladze, Nikoloz",9
St Cloud State,NSIC,scsuhuskies.com,https://scsuhuskies.com/sports/mens-basketball/stats,sidearm,"Dahl, Nate",9
St Edwards,LSC,gohilltoppers.com,https://gohilltoppers.com/sports/mens-basketball/stats,sidearm,"Barei, Luca",9
St Marys TX,LSC,rattlerathletics.com,https://rattlerathletics.com/sports/mens-basketball/stats,sidearm,"Britt, Justin",8
St Thomas Aquinas,ECC,www.stacathletics.com,https://www.stacathletics.com/sports/mbkb/2025-26/teams/stthomasaquinas,generic,Anthony Daley,12
Stanislaus,CCAA,warriorathletics.com,https://warriorathletics.com/sports/mens-basketball/stats,sidearm,"Ameyaw, Daniel",11
Staten Island,ECC,csidolphins.com,https://csidolphins.com/sports/mens-basketball/stats,sidearm,"Benedict, Andrew",10
Sul Ross State,LSC,srlobos.com,https://srlobos.com/sports/mens-basketball/stats,sidearm,"Barclay, Julien",12
Tampa,,www.tampaspartans.com,https://www.tampaspartans.com/sports/mbkb/2025-26/teams/tampa,prestosports,B.J. Schaeffer,11
Texas AM International,LSC,godustdevils.com,https://godustdevils.com/sports/mens-basketball/stats,sidearm,"Carter, Knowledge",10
Texas AM Kingsville,,javelinaathletics.com,https://javelinaathletics.com/sports/mens-basketball/stats,sidearm,"Carr, Caleb",12
Texas Permian Basin,,utpbfalcons.com,https://utpbfalcons.com/sports/mens-basketball/stats,sidearm,"Burnett, Marcus",11
Thomas More,G-MAC,thomasmoresaints.com,https://thomasmoresaints.com/sports/mens-basketball/stats,sidearm,"Allen, Daniel",13
Tiffin,G-MAC,gotiffindragons.com,https://gotiffindragons.com/sports/mens-basketball/stats,sidearm,"Bates, Caleb",12
Trevecca Nazarene,GSC,tnutrojans.com,https://tnutrojans.com/sports/mens-basketball/stats,sidearm,"Abernathy, Jax",11
Truman,,trumanbulldogs.com,https://trumanbulldogs.com/sports/mens-basketball/stats,sidearm,"Anderson, Troy",10
Tusculum,SAC,www.tusculumpioneers.com,https://www.tusculumpioneers.com/sports/mbkb/2025-26/teams/tusculum?view=lineup,generic,AJ Murphy,10
Tuskegee,SIAC,goldentigersports.com,https://goldentigersports.com/sports/mens-basketball/stats,sidearm,"Bolton III, Derrek",8
UNC Pembroke,Carolinas,uncpbraves.com,https://uncpbraves.com/sports/mens-basketball/stats,sidearm,"Anderson, Demar",12
USC Beaufort,,uscbathletics.com,https://uscbathletics.com/sports/mens-basketball/stats,sidearm,"Anderson, Qurahn",13
Union TN,,uuathletics.com,https://uuathletics.com/sports/mens-basketball/stats,sidearm,"Allen, Jamiir",10
University of Charleston,MEC,ucgoldeneagles.com,https://ucgoldeneagles.com/sports/mens-basketball/stats,sidearm,"Barrett, Trevor",9
University of Mary,NSIC,goumary.com,https://goumary.com/sports/mens-basketball/stats,sidearm,"Austin, Andre",13
Upper Iowa,GLVC,uiupeacocks.com,https://uiupeacocks.com/sports/mens-basketball/stats,sidearm,"Erwin, Zach",9
Valdosta State,GSC,vstateblazers.com,https://vstateblazers.com/sports/mens-basketball/stats,sidearm,"Batchelor, Michael",12
Vanguard,PacWest,vanguardlions.com,https://vanguardlions.com/sports/mens-basketball/stats,sidearm,"Cisse, Pape",8
Virginia State,CIAA,govsutrojans.com,https://govsutrojans.com/sports/mens-basketball/stats,sidearm,"Clawson, Jared",11
Virginia Wise,,uvawisecavs.com,https://uvawisecavs.com/sports/mens-basketball/stats,sidearm,"Cummins, Anderson",9
WV Wesleyan,MEC,wesleyanbobcats.com,https://wesleyanbobcats.com/sports/mens-basketball/stats,sidearm,"Baker, Isaiah",12
Walsh,G-MAC,athletics.walsh.edu,https://athletics.walsh.edu/sports/mens-basketball/stats,sidearm,"Barnett, Quintero",10
Washburn,MIAA,wusports.com,https://wusports.com/sports/mens-basketball/stats,sidearm,"Bachelor, Jack",9
Wayne State,GLIAC,wsuathletics.com,https://wsuathletics.com/sports/mens-basketball/stats,sidearm,"Ayrault, Adam",9
Wayne State NEB,NSIC,wscwildcats.com,https://wscwildcats.com/sports/mens-basketball/stats,sidearm,"Ferrin, JJ",8
West Alabama,GSC,uwaathletics.com,https://uwaathletics.com/sports/mens-basketball/stats,sidearm,"Brown Jr., BJ",7
West Chester PA,PSAC,wcupagoldenrams.com,https://wcupagoldenrams.com/sports/mens-basketball/stats,sidearm,"Blair, Dylan",7
West Florida,GSC,goargos.com,https://goargos.com/sports/mens-basketball/stats,sidearm,"Demings, Aric",10
West Liberty,MEC,hilltoppersports.com,https://hilltoppersports.com/sports/mens-basketball/stats,sidearm,"Abdullah, Hayden",11
West Texas AM,,gobuffsgo.com,https://gobuffsgo.com/sports/mens-basketball/stats,sidearm,"Ballard, Brendan",9
West Virginia State,MEC,wvsuyellowjackets.com,https://wvsuyellowjackets.com/sports/mens-basketball/stats,sidearm,"Belkhaddar , Hassan",12
Western Colorado,RMAC,gomountaineers.com,https://gomountaineers.com/sports/mens-basketball/stats,sidearm,"Grant, Dawlton",9
Western New Mexico,LSC,wnmumustangs.com,https://wnmumustangs.com/sports/mens-basketball/stats,sidearm,"Adams , Quincy",9
Western Oregon,GNAC,wouwolves.com,https://wouwolves.com/sports/mens-basketball/stats,sidearm,"Baumann, Parker",10
Western Washington,GNAC,wwuvikings.com,https://wwuvikings.com/sports/mens-basketball/stats,sidearm,"Grante-Halliday, Louis",8
Westminster,RMAC,westminstergriffins.com,https://westminstergriffins.com/sports/mens-basketball/stats,sidearm,"Ball, Tommy",11
Westmont,,athletics.westmont.edu,https://athletics.westmont.edu/sports/mens-basketball/stats,sidearm,"Bigott, Braedon",9
Wheeling,MEC,wucardinals.com,https://wucardinals.com/sports/mens-basketball/stats,sidearm,"Beresford, Trevor",9
William Jewel,GLVC,jewellcardinals.com,https://jewellcardinals.com/sports/mens-basketball/stats,sidearm,"Gudza, Kanukayi",8
Wilmington DE,,wildcats.athletics.wilmu.edu,https://wildcats.athletics.wilmu.edu/sports/mbkb/2025-26/teams/wilmingtondel?view=lineup&r=0&pos=sh,generic,Akeem Taylor,8
Wingate,SAC,wingatebulldogs.com,https://wingatebulldogs.com/sports/mens-basketball/stats,sidearm,"Bradley, Derek",9
Winona State,NSIC,winonastatewarriors.com,https://winonastatewarriors.com/sports/mens-basketball/stats,sidearm,"Bardic, Aidan",11
Winston-Salem State,CIAA,wssurams.com,https://wssurams.com/sports/mens-basketball/stats,sidearm,"Boykin, Tyre",9
Young Harris,Carolinas,yhcathletics.com,https://yhcathletics.com/sports/mens-basketball/stats,sidearm,"Baker, Brayden",11
