team,conference,host,stats_base_url,platform,matched_school_name,n_players_2025_26
Elizabeth City State,CIAA,ecsuvikings.com,https://ecsuvikings.com/sports/mens-basketball/stats,sidearm,"Coleman, Kuron",12
Embry–Riddle,Sunshine State,erauathletics.com,https://erauathletics.com/sports/mens-basketball/stats,sidearm,"Barr, Dawson",9
Emmanuel GA,Carolinas,goeulions.com,https://goeulions.com/sports/mens-basketball/stats,sidearm,"Jones, Isaac",10
Emory Henry,SAC,www.gowasps.com,https://www.gowasps.com/sports/mbkb/2025-26/teams/emoryhenry,generic,Assad Madassalia,8
Emporia State,MIAA,esuhornets.com,https://esuhornets.com/sports/mens-basketball/stats,sidearm,"Bear, Dallas",11
Erskine,Carolinas,erskinesports.com,https://erskinesports.com/sports/mens-basketball/stats,sidearm,"Bruce, Valerian",10
Fairmont State,MEC,fightingfalcons.com,https://fightingfalcons.com/sports/mens-basketball/stats,sidearm,"Brown, Joey",8
Fayetteville State,CIAA,fsubroncos.com,https://fsubroncos.com/sports/mens-basketball/stats,sidearm,"Aquino, Romeo",8
Felician College,CACC,felicianathletics.com,https://felicianathletics.com/sports/mens-basketball/stats,sidearm,"Anderson, Jeremiah",12
Ferris State,GLIAC,www.ferrisstatebulldogs.com,https://www.ferrisstatebulldogs.com/sports/mbkb/2025-26/teams/ferrisst,generic,Brandon Claerbaut,12
Ferrum,Carolinas,ferrumpanthers.com,https://ferrumpanthers.com/sports/mens-basketball/stats,sidearm,"Abel-Rivera, Alfredo",9
Findlay,G-MAC,findlayoilers.com,https://findlayoilers.com/sports/mens-basketball/stats,sidearm,"Bishop, Jake",11
Flagler,PBC,flaglerathletics.com,https://flaglerathletics.com/sports/mens-basketball/stats,sidearm,"Andrews, Camden",10
Florida Southern,Sunshine State,fscmocs.com,https://fscmocs.com/sports/mens-basketball/stats,sidearm,"Corso, Brady",8
Florida Tech,Sunshine State,floridatechsports.com,https://floridatechsports.com/sports/mens-basketball/stats,sidearm,"Daulerio, Matt",11
Fort Hays State,MIAA,fhsuathletics.com,https://fhsuathletics.com/sports/mens-basketball/stats,sidearm,"Danitschek, Blake",9
Fort Lewis,RMAC,goskyhawks.com,https://goskyhawks.com/sports/mens-basketball/stats,sidearm,"Bangham, Jr., Donald",10
Fort Valley State,SIAC,fvsusports.com,https://fvsusports.com/sports/mens-basketball/stats,sidearm,"Davies, Prince",11
Francis Marion,Carolinas,fmupatriots.com,https://fmupatriots.com/sports/mens-basketball/stats,sidearm,"Alevok, Duncan",10
Franklin Pierce,NE-10,fpuravens.com,https://fpuravens.com/sports/mens-basketball/stats,sidearm,"Anene, Aaron",12
Fresno Pacific,CCAA,www.fpuathletics.com,https://www.fpuathletics.com/sports/mens-basketball/stats,sidearm,"Brown, Seth",11
